"topic","type","content","pedagogical_objective","audience","difficulty_level","category"
"Comment fonctionne la Bourse ?","article","","Comprendre le fonctionnement de base des marchés boursiers","Tous","Débutant","Comprendre les marchés"
"Pourquoi les marchés montent-ils et baissent-ils ?","article","","Expliquer les facteurs qui influencent les variations de marché","Tous","Débutant","Comprendre les marchés"
"Les grandes places boursières du monde","article","","Faire découvrir les principales places boursières","Tous","Débutant","Comprendre les marchés"
"CAC 40 : comprendre l'indice phare français","article","","Expliquer le CAC 40 et son rôle en Bourse","Europe","Débutant","Comprendre les marchés"
"S&P 500 : le baromètre de l'économie américaine","article","","Comprendre l’indice S&P 500 et son utilité","Tous","Débutant","Comprendre les marchés"
"BRVM : investir en Afrique de l'Ouest","article","","Comprendre la BRVM et comment y investir","Afrique","Intermédiaire","Afrique"
"JSE : la Bourse sud-africaine en bref","article","","Présenter le fonctionnement du JSE","Afrique","Intermédiaire","Afrique"
"Marchés émergents : risques et opportunités","article","","Apprendre les spécificités des marchés émergents","Tous","Intermédiaire","Comprendre les marchés"
"Marchés développés : pourquoi y investir ?","article","","Expliquer les avantages des marchés développés","Tous","Débutant","Comprendre les marchés"
"Qu'est-ce qu'un indice boursier ?","article","","Expliquer le concept d’indice boursier","Tous","Débutant","Comprendre les marchés"
"Le rôle des banques centrales sur les marchés","article","","Comprendre l’impact des banques centrales","Tous","Intermédiaire","Comprendre les marchés"
"Inflation et marchés financiers","article","","Comprendre l’effet de l’inflation sur les placements","Tous","Intermédiaire","Comprendre les marchés"
"Le rôle des devises dans les investissements","article","","Expliquer l’importance des devises en Bourse","Tous","Intermédiaire","Comprendre les marchés"
"Que se passe-t-il en période de récession ?","article","","Expliquer les effets d’une récession sur l’investissement","Tous","Intermédiaire","Comprendre les marchés"
"Corrélation entre économie réelle et Bourse","article","","Comprendre les écarts entre économie réelle et marchés","Tous","Intermédiaire","Comprendre les marchés"
"Pourquoi investir à l’international ?","article","","Montrer l’intérêt de la diversification géographique","Tous","Débutant","Comprendre les marchés"
"L'impact de la géopolitique sur les marchés","article","","Comprendre l’effet des crises géopolitiques","Tous","Intermédiaire","Comprendre les marchés"
"La psychologie des investisseurs","article","","Comprendre les biais comportementaux","Tous","Intermédiaire","Psycho & stratégie"
"Comment les guerres impactent-elles les marchés ?","article","","Comprendre les effets directs et indirects des guerres","Tous","Intermédiaire","Géopolitique & Macro"
"Embargos : quels impacts pour les investisseurs ?","article","","Apprendre comment les embargos affectent les secteurs","Tous","Intermédiaire","Géopolitique & Macro"
"Les droits de douane : arme économique ou protectionnisme ?","article","","Expliquer les effets des droits de douane sur le commerce et la Bourse","Tous","Intermédiaire","Géopolitique & Macro"
"Sanctions économiques : quelles conséquences en Bourse ?","article","","Comprendre l’effet des sanctions internationales sur les actifs","Tous","Intermédiaire","Géopolitique & Macro"
"Les matières premières et les crises géopolitiques","article","","Comprendre pourquoi les matières premières flambent en période de crise","Tous","Intermédiaire","Géopolitique & Macro"
"Les accords commerciaux régionaux expliqués","article","","Expliquer l’impact d’accords type AfCFTA, CETA… sur les marchés","Afrique & Europe","Débutant","Géopolitique & Macro"
"Qu'est-ce que la BRVM ?","article","","Présenter le fonctionnement et le rôle de la BRVM","Afrique + Diaspora","Débutant","Afrique"
"Comment investir en Bourse sur la BRVM ?","article","","Expliquer concrètement comment acheter des actions BRVM","Afrique + Diaspora","Débutant","Afrique"
